stop_name,avg_delay,p75_delay,factor,trip_count,route_count,lat,lon
Indiranagara 12th Main,5.471,7.373,1.119,394,25,12.97,77.641
Indiranagara 6th Main,5.654,7.58,1.119,394,25,12.974,77.641
Indiranagara Metro Station,5.229,6.812,1.065,180,31,12.978,77.639
Indiranagara Police Station/KFC,6.092,8.162,1.214,660,68,12.978,77.641
Indlubele,5.13,6.922,1.039,99,22,12.791,77.776
Indluvadi Cross,5.138,6.79,1.04,129,11,12.732,77.671
Indo American Hybrid Farm,5.308,7.022,1.075,237,21,12.904,77.512
Indoor Stadium,4.888,6.772,1.032,87,16,12.943,77.622
Industrial Area Rajajinagara,5.543,7.363,1.093,316,16,12.982,77.549
Industrial Area Water Tank Bommasandra,5.242,6.8,1.044,140,13,12.817,77.676
Industrial Town Rajajinagara,5.127,6.998,1.027,88,7,12.985,77.548
Infosys Parking Lot,5.312,7.242,1.062,188,21,12.85,77.663
Iskcon Temple,5.778,7.72,1.177,593,35,13.012,77.551
Islampura Cross,5.156,6.76,1.042,99,28,13.113,77.389
Ittagalpura Gate,5.178,6.81,1.031,54,29,13.17,77.55
Ittamadu,5.264,7.12,1.038,118,12,12.92,77.542
Ittamadu 1,5.165,6.892,1.035,117,7,12.92,77.542
Ittamadu Cross,5.049,6.77,1.028,97,4,12.928,77.546
Ittige Factory,5.512,7.502,1.144,434,50,13.103,77.629
Ivarukandapura,5.122,6.7,1.035,88,20,13.138,77.494
JBN Petrol Bunk,5.346,7.212,1.05,136,24,12.967,77.656
JC Nagara,5.029,6.732,1.029,93,7,13.006,77.535
JP Nagara 15th Cross,5.463,7.22,1.114,373,26,12.907,77.586
JP Nagara 24th Main 9th Cross,5.009,6.75,1.017,58,3,12.911,77.583
JP Nagara 3rd Phase,6.402,8.642,1.273,806,104,12.907,77.6
JP Nagara 6th Phase,5.129,6.742,1.037,112,13,12.906,77.578
JP Nagara Metro Station,6.177,8.2,1.223,618,104,12.908,77.573
JSS College,5.265,6.99,1.048,145,16,12.904,77.508
Jagajeevanram Nagara,5.235,7.11,1.047,160,8,12.965,77.555
Jai Bharath Nagara,6.495,8.495,1.294,985,58,13.002,77.63
Jakkasandra,5.56,7.39,1.147,429,59,12.925,77.638
Jakkur 18th Cross,5.083,6.812,1.044,107,27,13.069,77.603
Jakkur Aerodrum,7.199,9.36,1.437,1198,210,13.077,77.593
Jakkur Layout 3rd Cross.,5.081,6.762,1.023,62,12,13.07,77.602
Jakkur Layout Double Road,5.098,6.898,1.021,52,12,13.073,77.604
Jalabhavan,5.579,7.31,1.147,444,51,12.924,77.6
Jalahalli Bakery,5.722,7.69,1.138,421,46,13.043,77.55
Jalahalli Cross,9.006,12.222,1.82,2517,268,13.04,77.518
Jalahalli Cross  Metro Station Departure,5.159,6.86,1.042,133,11,13.04,77.519
Jalahalli Cross Metro Station Arrival,5.025,6.82,1.02,65,4,13.04,77.519
Jalahalli East,6.208,8.33,1.242,803,51,13.068,77.545
Jalahalli East 7th Camp,5.127,6.79,1.026,72,13,13.074,77.546
Jalahalli Police Station,5.192,6.82,1.041,126,13,13.049,77.55
Jalahalli Village,5.567,7.34,1.129,389,45,13.042,77.547
Jalavayu Vihara,5.145,6.83,1.03,86,12,13.021,77.637
Jalli Machine,7.105,9.43,1.421,1362,105,13.086,77.555
Jambu Savari Dinne,5.69,7.505,1.177,550,55,12.866,77.581
Janaki Rama Layout,5.915,7.912,1.13,314,83,13.043,77.642
Janapriya Apartment,7.447,9.73,1.524,1493,225,13.073,77.503
Janapriya Township,5.293,7.102,1.098,323,22,12.999,77.443
Janatha Bazar  Banashankari,5.183,6.93,1.065,190,25,12.928,77.546
Janatha Bazar Banashankari,5.616,7.15,1.168,575,27,12.928,77.546
Janatha Colony,5.428,7.17,1.068,216,18,12.724,77.704
Janthamane,5.022,6.812,1.024,58,16,12.942,77.757
Jaraganahalli Cross,6.357,8.375,1.251,692,119,12.901,77.573
Jayamahal,6.273,8.39,1.263,808,85,13.0,77.595
Jayamahal Extension1,5.032,6.56,1.018,61,3,13.002,77.599
Jayanagar 6 block,4.963,6.565,1.017,63,1,12.931,77.578
Jayanagar 6th block,4.991,6.96,1.022,60,10,12.931,77.579
Jayanagara  38th Cross,5.516,7.443,1.108,346,28,12.921,77.584
Jayanagara 38th Cross,5.505,7.115,1.114,376,25,12.921,77.584
Jayanagara 40th Cross,5.536,7.332,1.104,325,31,12.92,77.581
Jayanagara 4th Block,5.462,7.35,1.101,328,25,12.929,77.586
Jayanagara 5th Block,6.507,8.51,1.299,999,60,12.917,77.584
Jayanagara Bus Station,6.456,8.57,1.332,1075,82,12.928,77.584
Jayanagara Church,5.623,7.455,1.106,335,30,12.928,77.587
Jayanagara Pump House,5.586,7.44,1.112,341,37,12.922,77.597
Jayanagara Telephone Exchange,6.107,7.953,1.222,723,54,12.924,77.584
Jayaram Das Factory,6.116,8.282,1.22,549,132,12.93,77.506
Jeevan Bheemanagara Cross,5.161,6.892,1.026,66,15,12.967,77.661
Jeevanbheema Nagara,5.125,6.71,1.04,128,11,12.966,77.658
Jettipalya,5.141,6.82,1.04,114,18,12.977,77.401
Jigala Cross,5.316,6.98,1.04,101,23,12.782,77.772
Jigani APC CIrcle,4.958,6.502,1.02,55,9,12.779,77.643
Jigani APC Circle,5.43,7.203,1.145,428,56,12.779,77.644
Jigani Bus Stand,5.284,7.03,1.097,271,45,12.787,77.637
Jigani Double Road,5.367,7.36,1.097,270,44,12.789,77.63
Jigani KEB,5.309,7.15,1.053,158,20,12.777,77.645
Jigani Tent,5.513,7.28,1.097,270,44,12.787,77.633
Jindal,6.121,8.322,1.25,714,106,13.054,77.483
Jinke Bachahalli Gate,5.484,7.36,1.079,241,26,13.246,77.553
Jnanakshi Layout,5.113,6.8,1.027,87,7,12.913,77.514
Johnson Market,5.312,7.06,1.079,256,20,12.963,77.607
Juggath Farma,5.371,7.07,1.106,237,76,12.891,77.455
Juggath Pharma,5.216,7.08,1.051,98,44,12.891,77.455
Junglepalya Gate,5.543,7.36,1.116,315,58,12.808,77.59
Junnasandra Gate Wipro Regional Office,5.971,8.13,1.191,580,65,12.911,77.685
Jyothi Farm,5.785,7.8,1.145,373,82,12.86,77.529
Jyothi Nagara,4.948,7.002,1.04,92,27,12.959,77.522
Jyothi Nivas College,5.349,7.0,1.064,209,15,12.935,77.615
Jyothi School,5.543,7.533,1.137,329,87,13.015,77.627
Jyothipura Gate,5.051,6.882,1.045,127,20,13.103,77.744
K Gollahalli,5.034,6.672,1.024,50,18,12.843,77.451
K Narayanapura Cross,6.178,8.52,1.289,785,143,13.068,77.634
K Narayanapura Main Bus Stand,5.149,6.855,1.031,83,16,13.066,77.641
KBD Factory,5.13,6.68,1.02,56,10,13.117,77.372
KG Halli Post Office,5.35,7.072,1.078,242,24,13.057,77.533
KG Srinivasapura Cross,5.183,6.873,1.039,94,25,13.129,77.4
KH Road,7.25,9.79,1.44,1336,150,12.958,77.593
KHB Colony,6.513,8.922,1.333,955,141,12.803,77.386
KIA Terminal 2,5.714,7.752,1.148,521,17,13.199,77.715
KIADB Hoovinayakanahalli Gate,5.277,6.95,1.05,115,35,13.156,77.681
KIMS College,5.522,7.203,1.105,341,26,12.927,77.561
KK School,4.971,6.55,1.034,88,18,12.933,77.743
KPCC Office,6.255,8.322,1.217,597,103,12.983,77.576
KR Circle,8.257,11.14,1.705,2053,283,12.976,77.586
KR Hospital Uttarahalli,5.508,7.315,1.096,277,39,12.907,77.546
KR Market,10.183,13.702,2.013,2903,428,12.964,77.577
KR Market (Kalasipalya),8.689,11.41,1.808,2307,345,12.962,77.577
KR Pura Extension,6.125,8.35,1.22,601,107,13.011,77.699
KR Pura Market,6.004,8.055,1.239,651,117,13.008,77.695
KR Pura Metro Station,5.028,6.602,1.04,140,5,13.0,77.677
KR Pura Railway Station,8.12,10.94,1.642,1965,212,13.0,77.677
KSRP Training Centre,5.04,6.772,1.022,54,13,12.886,77.672
KTPO,6.187,8.27,1.224,775,32,12.977,77.722
Kaateramma Devasthana,5.204,6.87,1.062,194,18,13.093,77.779
Kabir Ashrama,5.199,6.882,1.054,177,12,13.013,77.596
Kacharakanahalli,5.619,7.152,1.138,332,89,13.021,77.629
Kachohalli,4.956,6.703,1.026,87,6,13.0,77.471
Kachohalli Gate,6.056,8.09,1.234,676,96,12.99,77.469
Kadabagere Cross,6.017,8.168,1.211,593,94,12.989,77.449
Kadasonnappanahalli Gate,5.281,7.16,1.076,191,45,13.102,77.658
Kadiganahalli Gate,5.51,7.222,1.072,211,29,13.168,77.632
Kadirenahalli Cross,6.231,8.37,1.27,839,84,12.914,77.567
Kadirenahalli Park,5.641,7.462,1.16,521,38,12.918,77.564
Kadirenahalli Village,5.28,6.97,1.064,180,29,12.916,77.561
Kadubisanahalli,7.591,9.96,1.496,1694,81,12.943,77.697
Kadugenahalli Gate,4.895,6.312,1.02,58,8,13.168,77.631
Kadugodi Bridge,6.716,8.932,1.379,1224,95,12.994,77.758
Kadugodi Bus Station,6.315,8.032,1.294,983,59,12.996,77.759
Kadugodi Metro Station,5.28,7.078,1.025,76,9,12.995,77.758
Kadugondanahalli Police Station,5.567,7.3,1.161,467,65,13.021,77.619
Kadugondanahalli Railway Gate,5.659,7.652,1.157,461,61,13.026,77.62
Kadumane Hotel,5.294,7.168,1.057,158,26,12.815,77.407
Kaggalahalli,5.224,7.09,1.042,124,16,12.83,77.325
Kaggalipura,5.541,7.252,1.129,331,72,12.8,77.508
Kaikondrahalli,5.826,7.87,1.205,618,73,12.914,77.678
Kalamandira  Marathahalli Bridge,6.276,8.325,1.264,892,48,12.96,77.701
Kalamandira Marathahalli Bridge,5.99,7.88,1.18,608,33,12.96,77.701
Kalena Agrahara,6.038,7.755,1.201,565,90,12.866,77.592
Kalkere,5.979,7.71,1.181,505,83,13.034,77.675
Kalkere Cross,5.159,7.012,1.027,74,13,13.021,77.679
Kalyana Mantapa Koramangala,5.311,7.08,1.066,211,17,12.937,77.618
Kalyanamantapa (Oxford College),5.425,7.462,1.088,257,34,12.9,77.627
Kalyananagara,7.941,10.685,1.565,1799,154,12.968,77.524
Kalyananagara 302,4.903,6.392,1.017,57,3,13.026,77.637
Kalyananagara Bus Stand,5.17,7.078,1.035,75,27,13.026,77.638
Kamakshipalya,6.905,9.032,1.331,951,139,12.984,77.529
Kamakya Talkies,6.135,8.272,1.238,785,52,12.924,77.554
Kamalanagara,5.517,6.992,1.103,357,14,12.993,77.531
Kamalanagara BEML Layout,5.0,6.652,1.018,55,6,12.993,77.529
Kamalanagara Market,5.403,7.072,1.08,286,7,12.996,77.531
Kamalanagara Water Tank,5.535,7.47,1.099,349,12,12.996,77.54
Kambalipura,5.113,6.642,1.017,51,6,13.131,77.804
Kamblipura Cross,4.929,6.672,1.016,50,5,13.136,77.787
Kammagondanahalli Bridge,5.534,7.352,1.127,413,31,13.055,77.533
Kammagondanahalli Rama Temple,5.276,6.882,1.078,242,24,13.064,77.531
Kammagonda‌nahalli Bridge,5.408,7.172,1.113,381,21,13.055,77.535
Kammanahalli,5.1,6.77,1.03,86,12,13.018,77.636
Kammanahalli Empire Hotel,5.053,6.73,1.03,86,12,13.015,77.636
Kammasandra,5.395,7.255,1.071,205,29,13.035,77.439
Kammasandra Gate,5.111,7.042,1.026,59,19,12.871,77.734
Kanakashree Layout Chikka Gubbi,5.267,7.08,1.08,195,50,13.087,77.655
Kanminake,5.438,7.113,1.085,215,49,12.863,77.434
Kanminake Colony,5.393,7.082,1.084,213,48,12.858,77.429
Kannalli,4.925,6.34,1.017,54,4,12.968,77.459
Kannamangala Gate,6.01,7.762,1.221,642,89,13.032,77.759
Kannuru,5.605,7.32,1.109,278,63,13.093,77.654
Kanshiram Nagara,5.366,7.038,1.061,143,41,13.091,77.539
Kanteerava Studio,5.975,7.89,1.192,581,67,13.022,77.532
Kanyakumari,5.167,6.882,1.032,105,7,12.718,77.483
Karekal Cross,5.17,6.902,1.028,71,17,12.974,77.374
Kari Obanahalli,5.52,7.212,1.116,409,13,13.025,77.487
Kariyanapalya Cross (80ft Road Junction),5.083,6.76,1.033,109,7,12.892,77.514
Karpura Gate,5.446,7.07,1.104,318,35,12.736,77.708
Karthik Nagara,6.742,8.74,1.321,1067,66,12.968,77.702
Kasavanahalli,5.044,6.84,1.021,55,12,12.905,77.676
Kasthurinagara,6.905,9.3,1.376,1207,98,13.004,77.663
Katamanallur Gate,6.21,8.082,1.244,701,103,13.053,77.762
Kathriguppe,5.919,7.875,1.216,693,57,12.925,77.55
Kattigehalli Cross,5.231,6.895,1.04,103,22,13.122,77.626
Kattigenahalli Cross,5.475,7.18,1.087,269,27,13.122,77.626
Kattu Gollahalli Gate,5.144,6.89,1.046,129,21,13.094,77.743
Kaval Byrasandra,5.576,7.302,1.119,421,13,13.02,77.608
Kavala Hosahalli,5.179,6.8,1.073,233,20,12.726,77.704
Kaveri Nagara,5.339,7.225,1.051,162,14,12.92,77.569
Kebbedoddi Gate,4.993,6.652,1.032,105,7,12.703,77.481
Kempaiahnagara,5.305,7.082,1.057,162,24,13.108,77.482
Kempapura,6.877,8.9,1.367,1141,113,13.044,77.601
Kempapura Agarahara,4.873,6.542,1.016,56,2,12.969,77.555
Kempegowda Arch,5.624,7.55,1.152,463,52,13.002,77.526
Kempegowda Bus Station,20.32,27.125,4.0,9416,884,12.977,77.573
Kempegowda Bus Station(Majestic/KBS),5.093,6.75,1.026,63,16,12.978,77.574
Kempegowda International Airport,6.561,8.942,1.323,1131,40,13.199,77.708
Kempegowda International Airport Back Gate,5.013,6.58,1.028,91,7,13.198,77.68
Kenchanapura Cross,5.752,7.72,1.161,501,50,12.942,77.494
Kendriya Sadana Koramangala,5.303,7.0,1.061,186,21,12.926,77.62
Kendriya Vidyalaya,6.123,8.585,1.24,801,49,13.065,77.544
Kendriya Vidyalaya ASC Center,5.352,7.04,1.083,243,32,12.967,77.613
Kendriya Vihara,6.596,8.66,1.347,963,161,13.107,77.602
Kengeri Bus Station,7.242,9.642,1.466,1297,215,12.914,77.486
Kengeri Church,5.447,7.13,1.097,277,41,12.928,77.487
Kengeri Club,5.221,6.982,1.068,221,17,12.924,77.473
Kengeri Ganesha Temple,5.771,7.632,1.168,502,61,12.911,77.48
Kengeri Police Station,6.752,8.89,1.388,1039,199,12.91,77.481
Kengeri Post Office,5.389,7.135,1.094,266,42,12.915,77.482
Kengeri Railway Station,5.524,7.332,1.1,281,44,12.917,77.482
Kengeri Satellite Town,5.468,7.072,1.1,281,44,12.924,77.485
Kengunte Circle,6.178,8.05,1.217,668,70,12.96,77.504
Kere Guddadahalli,5.498,7.533,1.098,327,20,13.079,77.516
Kerekodi Sondekoppa,5.015,6.705,1.038,110,16,13.019,77.384
Kethohalli,5.084,6.652,1.047,110,32,12.907,77.403
Khaji Sonnenahalli Gate,5.32,6.91,1.084,238,36,13.035,77.759
Kirloskar Company,4.972,6.51,1.035,127,3,13.014,77.56
Kodandarama Temple,5.027,6.645,1.017,50,6,13.002,77.561
Kodathi Gate,5.763,7.623,1.18,550,61,12.897,77.72
Kodigehalli,5.281,6.985,1.053,146,25,13.06,77.577
Kodigehalli Gate,7.822,10.022,1.569,1598,256,13.004,77.723
Kodihalli,6.6,8.98,1.359,1007,162,13.018,77.812
Kodimanchanahalli Gate,5.087,6.972,1.023,64,10,13.258,77.699
Kodipalya,5.026,6.94,1.072,166,50,12.751,77.447
Kogilu,5.738,7.53,1.149,449,52,13.104,77.616
Kogilu Cross,8.863,11.782,1.789,2445,248,13.104,77.601
Kohinoor Ground,5.218,6.802,1.067,213,19,12.947,77.566
Koli Farm,5.711,7.562,1.139,401,57,13.074,77.634
Koli Farm Gate,6.346,8.505,1.24,682,104,12.841,77.588
Kommaghatta,5.091,6.822,1.044,147,9,12.93,77.465
Kommaghatta Junction,5.818,7.652,1.168,502,61,12.914,77.481
Konanakunte,5.557,7.32,1.129,395,43,12.886,77.567
Konanakunte Cross,6.231,8.392,1.299,837,136,12.89,77.564
Konanakunte Cross  Metro Station,5.868,7.85,1.16,403,93,12.889,77.563
Konanakunte Reliance Fresh,5.342,7.22,1.067,226,13,12.883,77.566
Konappana Agarhara,7.309,9.715,1.471,1433,160,12.856,77.664
Konappana Agrahara,5.168,6.77,1.032,113,3,12.856,77.664
Konappana Agrahara Flyover,4.928,6.62,1.018,57,6,12.852,77.667
Konasandra Cross,5.103,6.8,1.03,74,18,12.764,77.636
Konena Agrahara,6.211,8.342,1.284,825,115,12.959,77.66
Koppa Gate,5.582,7.36,1.103,281,50,12.796,77.616
Koramangala 1st Block,5.687,7.29,1.164,489,61,12.925,77.635
Koramangala Bus Station,5.621,7.455,1.145,439,51,12.941,77.625
Koramangala Forum Mall,5.19,6.832,1.062,207,12,12.935,77.612
Koramangala Police Station,5.217,7.02,1.066,211,17,12.942,77.622
Koramangala Water Tank,7.052,9.635,1.431,1234,183,12.928,77.621
Koshys Hospital Kalkere,5.021,6.772,1.027,74,13,13.021,77.677
Kothanuru,5.616,7.28,1.116,298,65,13.062,77.649
Kothanuru Dinne Ganesha Temple,5.401,7.258,1.108,361,21,12.877,77.584
Kottigepalya,7.118,9.3,1.496,1460,191,12.988,77.515
Krishnananda Nagara,5.205,6.932,1.052,154,19,13.018,77.541
Krishnaraja Pura Govt Hospital,7.207,9.662,1.465,1435,148,13.008,77.693
Krishnasagara,5.204,6.682,1.037,117,11,12.932,77.556
Krupanidhi College,6.429,8.71,1.264,757,112,12.924,77.629
Kudlu Gate,7.15,9.29,1.429,1275,160,12.89,77.64
Kudlu Gate Flyover,5.114,6.75,1.056,185,13,12.89,77.64
Kudure Mukha Colony,6.725,9.25,1.367,1043,159,12.926,77.626
Kumaraswamy Layout,5.044,6.94,1.037,107,15,12.903,77.562
Kumaraswamy Layout Police Station,5.078,6.592,1.036,106,14,12.905,77.563
Kumbalagodu,5.661,7.462,1.123,304,75,12.878,77.446
Kumbaranahalli,5.268,7.055,1.039,127,10,12.748,77.66
Kundalahalli,6.012,7.953,1.226,780,33,12.958,77.716
Kundalahalli Colony,6.038,8.062,1.226,780,33,12.97,77.712
Kundalahalli Gate,7.111,9.632,1.442,1416,116,12.956,77.714
Kundalahalli Metro Station,6.093,8.285,1.224,777,32,12.978,77.716
Kuppareddy Kere,5.394,7.115,1.127,326,71,12.843,77.518
Kurubarahalli,5.42,7.08,1.084,298,9,13.001,77.536
Kurubarahalli Cross,5.299,7.065,1.042,103,26,13.127,77.52
Kurubarakunte Cross (Narsari),5.081,6.71,1.033,106,9,13.267,77.742
Kuvempu Circle,6.99,9.145,1.382,1186,119,13.045,77.563
Kuvempu Circle 1,5.19,6.805,1.044,143,10,13.043,77.561
Kuvempunagara ( BTM Layout),5.827,7.732,1.155,510,34,12.916,77.616
Kuvempunagara Bus Station(BTM Layout),5.753,7.51,1.174,591,31,12.916,77.616
Kuvempunagara Bus station (BTM Layout),5.184,7.03,1.053,182,8,12.916,77.616
Kyalasanahalli,5.135,6.87,1.03,82,14,13.056,77.66
L and T Factory Doddaballapura,5.06,6.542,1.017,54,4,13.292,77.57
Laggere Bridge,5.871,7.72,1.152,463,52,13.008,77.527
Laggere Cross,5.526,7.512,1.106,343,27,13.023,77.523
Laggere New Bus Stand,5.173,6.895,1.063,201,17,13.011,77.525
Lakkasandra,8.221,10.782,1.65,1903,255,12.944,77.597
Lakkenahalli Junction Sondekoppa Road,4.886,6.49,1.034,102,13,13.045,77.393
Lakkondahalli Gate,5.123,6.88,1.062,194,18,13.117,77.773
Lakkondahalli Temple,5.132,6.715,1.062,194,18,13.111,77.774
Lakkuppe,5.442,7.16,1.092,228,55,12.97,77.41
Lakshmi Devastana,5.004,6.632,1.037,106,15,13.078,77.393
Lakshmi Venkateshwara Temple,5.509,7.422,1.09,284,26,13.074,77.557
Lakshmipura,6.159,8.2,1.231,598,128,13.088,77.531
Lakshmipura Cross,5.206,6.978,1.059,138,40,13.092,77.533
Lalbagh Hopcoms,7.0,9.492,1.442,1295,174,12.952,77.591
Lalbagh Main Gate,7.306,9.842,1.489,1441,188,12.953,77.583
Lalbagh Metro Station,5.24,6.915,1.045,141,13,12.947,77.58
Lalbagh West Gate,5.431,7.252,1.095,295,30,12.948,77.58
Lalbagh West Gate (Lalbagh Metro Station),5.35,7.18,1.109,357,25,12.948,77.58
Lido Talkies,6.273,8.265,1.259,689,134,12.973,77.62
Life Style (Sacred Heart School),5.907,7.772,1.178,530,66,12.967,77.61
Lingadeeranahalli,4.989,6.64,1.018,53,6,12.999,77.479
Lingarajapura,5.564,7.262,1.138,332,88,13.127,77.534
Lingarajapura Bridge,5.617,7.55,1.137,329,87,13.009,77.623
Link Road,6.247,8.482,1.268,819,89,12.994,77.574
Loyola School,6.13,8.26,1.205,572,94,12.871,77.593
Lurdubayi Samudaya Bhavana,5.653,7.562,1.158,479,55,12.997,77.523
M S Nagara (Thirumenahalli ),5.135,6.845,1.021,63,7,13.097,77.636
MC Donald,5.348,7.292,1.08,292,4,12.912,77.638
MC Layout,5.031,6.57,1.046,154,9,12.975,77.542
MD Block,4.982,6.693,1.028,103,2,12.993,77.57
MEG Centre,4.977,6.732,1.019,55,7,12.987,77.623
MEI Colony Laggere,5.354,7.152,1.087,291,18,13.02,77.521
MEI Factory,7.229,9.512,1.453,1326,178,13.027,77.544
MEI Layout Arch,5.535,7.38,1.104,310,39,13.06,77.507
MEKHRI CIRCLE,5.136,6.732,1.052,160,16,13.016,77.584
MES Road,5.439,7.42,1.129,397,41,13.044,77.554
MG Road,5.403,7.375,1.099,317,26,12.978,77.602
MG Road Electric B Station,5.41,7.14,1.064,161,37,12.974,77.613
MG Road Metro Station,5.438,7.29,1.082,255,25,12.975,77.606
MG Statue (Chinnaswamy Stadium),5.778,7.585,1.175,546,53,12.976,77.599
MGM School,5.25,6.96,1.057,128,41,12.898,77.433
MICO Factory Junction,5.215,6.842,1.057,188,13,12.944,77.603
MICO Gate Adugodi,5.192,7.06,1.054,183,10,12.944,77.605
MICO Layout BTM,6.874,9.052,1.364,1207,76,12.917,77.604
MICO Layout Checkpost Gopalan mall,5.852,7.85,1.23,676,90,12.914,77.6
MM Industries,5.081,6.842,1.044,136,13,12.93,77.574
MN Krishna Rao Park,5.234,6.95,1.055,167,19,12.944,77.577
MR Nursing College,5.495,7.302,1.11,282,63,13.058,77.649
MRB Grand Hotel,5.051,6.75,1.024,81,4,12.888,77.516
MS Building,5.147,6.84,1.052,120,36,12.977,77.589
MS Palya,6.373,8.622,1.317,1022,81,13.082,77.548
MS Ramaiah College,6.594,8.522,1.324,1004,102,13.029,77.562
MS Ramaiah Hospital,5.73,7.62,1.122,421,19,13.028,77.572
MS Ramayya Hospital,5.076,6.783,1.043,156,2,13.028,77.571
MTR Hotel,5.371,7.01,1.04,146,2,12.917,77.645
MVJ College Channasandra,5.765,7.572,1.168,423,99,12.983,77.761
Machohalli Gate,6.136,8.51,1.207,589,90,12.991,77.454
Madanayakanahalli,6.323,8.41,1.28,805,118,13.061,77.461
Madapatna,5.249,6.955,1.056,163,22,12.773,77.648
Madavara,5.813,7.732,1.148,421,64,13.057,77.473
Madavara NICE Road,5.691,7.63,1.138,427,44,13.057,77.474
Madhavan Park,5.97,7.68,1.192,619,49,12.937,77.583
Madhura Nagara,4.959,6.542,1.026,61,17,12.941,77.764
Madhura Nagara Hostel,5.237,6.808,1.026,61,17,12.94,77.76
Madivala,7.339,9.782,1.481,1406,190,12.922,77.621
Madivala Masidi,5.329,7.03,1.062,187,22,12.925,77.619
Magadi,5.104,6.832,1.019,52,9,12.955,77.227
Magadi Road Metro Station,6.573,8.585,1.314,912,127,12.976,77.555
Magadi Road TollGate,7.441,10.032,1.512,1592,158,12.975,77.549
Magadi Road Tollgate,5.447,7.172,1.066,185,30,12.975,77.548
Mahadeshwara Nagara,5.46,7.08,1.098,300,33,12.992,77.494
Mahadevapura,5.865,7.795,1.179,433,113,12.997,77.691
Mahadevapura Ring Road,7.063,9.09,1.394,1320,76,12.988,77.69
Mahalakshmi Layout,5.384,7.11,1.067,198,25,13.012,77.544
Mahalakshmi Layout Entrance,6.763,9.1,1.324,1066,72,13.007,77.549
Maharaja Signal,5.24,6.99,1.06,198,13,12.935,77.63
Maharani College,10.137,13.855,2.026,3096,360,12.977,77.586
Mahesh Medicals,4.946,6.58,1.023,74,6,12.914,77.55
Mahila Seva Samaja,5.928,7.922,1.16,470,62,12.954,77.574
Makali,6.412,8.702,1.275,797,112,13.066,77.453
Makali Cross,5.144,6.772,1.031,64,25,13.067,77.452
Makkala Koota,8.079,10.512,1.648,1931,239,12.957,77.573
Malagala,5.334,7.11,1.082,257,24,12.979,77.515
Mallapura Cross,5.096,6.912,1.037,106,15,13.073,77.394
Mallasandra,5.178,6.812,1.056,144,32,13.002,77.394
Mallathahalli Cross,5.572,7.43,1.104,296,44,12.957,77.503
Malleshpalya,5.087,6.67,1.048,143,17,12.975,77.67
Malleshpalya New Bus Station(Vignananagar),5.068,6.73,1.047,142,16,12.973,77.678
Malleshwara 11th Cross,6.92,9.262,1.414,1150,193,13.002,77.569
Malleshwara 13th Cross,5.637,7.43,1.17,479,76,13.004,77.569
Malleshwara 13th Cross  (8th Mian),5.094,6.682,1.033,119,2,13.003,77.565
Malleshwara 15th Cross,6.042,8.052,1.247,682,116,13.005,77.571
Malleshwara 15th Cross  (8th Main),5.144,6.705,1.033,119,2,13.007,77.564
Malleshwara 18th Cross,7.235,9.812,1.436,1226,195,13.009,77.571
Malleshwara 8th Cross,5.7,7.638,1.171,480,77,13.0,77.569
Malleshwara 8th Cross (8th Main),5.098,6.63,1.033,119,2,13.0,77.565
Malleshwara 8th Cross (Sampige Road),6.279,8.052,1.272,773,119,13.0,77.571
Malleshwara Circle,8.512,11.132,1.74,2265,246,12.997,77.569
Malleshwaram 18th Cross,5.089,6.8,1.033,119,2,13.01,77.563
Mallige Hospital,5.291,6.982,1.093,307,21,12.948,77.591
Manasa Nagara,5.512,7.34,1.12,367,40,12.959,77.517
Manchanayakanahalli Gate,5.278,6.97,1.068,181,36,12.835,77.414
Manchappanahalli Gate 1,5.111,6.962,1.023,70,8,13.144,77.729
Mandur,5.454,7.322,1.077,216,35,13.082,77.738
Mangammanapalya,5.286,7.082,1.043,154,4,12.907,77.635
Manganahalli Cross,5.442,7.34,1.077,259,14,12.953,77.484
Maniksha Parade Ground,5.633,7.305,1.148,397,76,12.978,77.607
Manipal Centre,5.152,6.86,1.032,85,17,12.976,77.615
Manipal Centre MG Road,5.762,7.703,1.135,377,62,12.976,77.614
Manjunatha Nagara,5.615,7.42,1.136,432,38,12.964,77.404
Mantapa Cross,5.474,7.552,1.105,275,57,12.803,77.596
Mantri Alpyne Apartment,5.21,6.99,1.048,149,14,12.904,77.527
Mantri Layout (M L A LAYOUT),5.297,7.015,1.033,68,26,13.084,77.448
Manuvana,6.19,8.082,1.267,874,62,12.974,77.547
Manyatha Tech Park,6.619,8.54,1.349,1101,100,13.041,77.621
Maragondanahalli Cross,5.172,6.932,1.031,103,7,12.935,77.431
Maramma Temple,5.137,6.892,1.048,161,9,12.963,77.559
Maramma Temple Halage Vaderahalli,5.118,6.77,1.036,116,10,12.923,77.515
Maramma Temple Hegganahalli,4.99,6.703,1.021,72,4,12.995,77.504
Marasandra Circle,5.396,7.23,1.082,246,30,13.223,77.55
Marasandra Govt School,5.268,6.832,1.074,231,22,13.231,77.55
Marasur Gate,5.241,6.94,1.046,134,19,12.77,77.701
Marathahalli,6.382,8.25,1.298,890,110,12.956,77.694
Marathahalli Bridge,7.249,9.325,1.497,1598,128,12.957,77.702
Marenahalli,5.781,7.67,1.161,499,50,12.973,77.362
Marenahalli (Marenahalli Metro Station),6.452,8.93,1.294,987,56,12.917,77.589
